record_id,temperature,vibration,downtime_hours,safety_flag,region
1,0.30,0.20,2,false,north
2,0.40,0.30,3,false,north
3,0.50,0.40,4,false,north
4,0.55,0.50,5,false,south
5,0.65,0.55,5,false,south
6,0.70,0.60,6,false,south
7,0.75,0.70,7,false,east
8,0.80,0.80,8,false,east
9,0.60,0.40,5,true,east
10,0.40,0.40,3,true,west
11,0.90,0.50,4,false,west
12,0.45,0.25,5,false,west
13,0.30,0.35,4,false,north
14,0.20,0.10,1,false,north
15,0.85,0.65,6,true,south
16,0.50,0.80,3,false,south
17,0.35,0.20,5,true,east
18,0.55,0.35,2,false,west
